iter	RMSE
0	14.87299054
1	14.48532688
2	14.09271656
3	13.73182421
4	13.38817999
5	13.06386171
6	12.75228941
7	12.47252134
8	12.20896431
9	11.90358856
10	11.62302834
11	11.37283396
12	11.15390794
13	10.90446422
14	10.67526255
15	10.43346425
16	10.21867743
17	10.016806
18	9.806875717
19	9.623901773
20	9.467156363
21	9.289970924
22	9.107322774
23	8.94050425
24	8.793372254
25	8.648043728
26	8.505948918
27	8.377444207
28	8.250657598
29	8.133415186
30	8.031993934
31	7.922083382
32	7.814164613
33	7.715540024
34	7.610722446
35	7.515215656
36	7.416349071
37	7.331183695
38	7.242454875
39	7.163982794
40	7.101738201
41	7.021490289
42	6.941860042
43	6.884441705
44	6.816564054
45	6.755843755
46	6.685253657
47	6.626546451
48	6.56777937
49	6.512484712
50	6.466052251
51	6.417626129
52	6.369983001
53	6.321176789
54	6.275617301
55	6.235514334
56	6.197856225
57	6.161376932
58	6.117205148
59	6.085403442
60	6.050688736
61	6.013396926
62	5.975903627
63	5.940523602
64	5.911607988
65	5.883974513
66	5.858625012
67	5.831130801
68	5.813359315
69	5.783000576
70	5.759702746
71	5.734723419
72	5.712628822
73	5.693161169
74	5.672508378
75	5.654266568
76	5.637133059
77	5.62058081
78	5.607910728
79	5.587489222
80	5.571147582
81	5.558739018
82	5.544093598
83	5.527589468
84	5.514436621
85	5.500862836
86	5.491401104
87	5.48053293
88	5.469786567
89	5.459091856
90	5.449262452
91	5.438797734
92	5.428903382
93	5.421211478
94	5.409872709
95	5.402777942
96	5.388220886
97	5.376106853
98	5.368770624
99	5.356657284
100	5.347813223
101	5.335621227
102	5.329768117
103	5.317473871
104	5.309615013
105	5.301046654
106	5.292713331
107	5.28571103
108	5.279411379
109	5.274139724
110	5.265991192
111	5.256619696
112	5.247525288
113	5.239107829
114	5.233295553
115	5.227774354
116	5.221204921
117	5.214376744
118	5.207506101
119	5.201812463
120	5.197890774
121	5.187587273
122	5.182884656
123	5.178433432
124	5.169334533
125	5.160251645
126	5.155183541
127	5.149627223
128	5.143764323
129	5.138603695
130	5.133185266
131	5.126563571
132	5.120022615
133	5.11540265
134	5.107226932
135	5.105213033
136	5.100540794
137	5.096644131
138	5.094603195
139	5.08566459
140	5.080490607
141	5.073851817
142	5.068259334
143	5.060599471
144	5.052129232
145	5.047151021
146	5.042130152
147	5.038248684
148	5.03260096
149	5.026671963
150	5.022491177
151	5.021102531
152	5.017603131
153	5.013966949
154	5.011509202
155	5.008048751
156	5.004928628
157	5.001324122
158	4.994930081
159	4.990056889
160	4.987590292
161	4.98397225
162	4.978782886
163	4.976064303
164	4.967951219
165	4.964749729
166	4.961897177
167	4.958686804
168	4.951227141
169	4.948355344
170	4.94302118
171	4.938358691
172	4.933217446
173	4.928527275
174	4.92476283
175	4.922437501
176	4.917588865
177	4.916583124
178	4.911059356
179	4.905691517
180	4.902012386
181	4.899023834
182	4.896040024
183	4.892476236
184	4.888302085
185	4.884473155
186	4.881071884
187	4.876097897
188	4.872037482
189	4.870423704
190	4.864301232
191	4.861664974
192	4.854540246
193	4.850568722
194	4.845728767
195	4.840437943
196	4.835280648
197	4.833640365
198	4.82795188
199	4.82717264
200	4.822199236
201	4.815458653
202	4.810864113
203	4.808637171
204	4.805440965
205	4.802020161
206	4.80008869
207	4.797016541
208	4.796268869
209	4.792464188
210	4.790593466
211	4.788189512
212	4.78405823
213	4.780168702
214	4.776418475
215	4.7730929
216	4.770777001
217	4.767700072
218	4.761978337
219	4.757342887
220	4.754405893
221	4.748659739
222	4.747121416
223	4.745031518
224	4.741753775
225	4.738810609
226	4.735832865
227	4.730819417
228	4.72668176
229	4.720881451
230	4.717416336
231	4.712569799
232	4.710477403
233	4.709066415
234	4.704691181
235	4.699315835
236	4.694613738
237	4.69083879
238	4.688300086
239	4.686584997
240	4.680813079
241	4.675332572
242	4.669342687
243	4.666181748
244	4.662439551
245	4.658117735
246	4.655168646
247	4.64989492
248	4.64651955
249	4.644564173
250	4.640128034
251	4.635223471
252	4.632175936
253	4.629303753
254	4.626949094
255	4.62084771
256	4.615199098
257	4.612480141
258	4.607830753
259	4.605653398
260	4.599278809
261	4.595795027
262	4.590509972
263	4.588544696
264	4.5818924
265	4.576216124
266	4.572718063
267	4.568099102
268	4.562701037
269	4.55976502
270	4.557480695
271	4.552252372
272	4.549392794
273	4.544022303
274	4.539452929
275	4.538500278
276	4.536443691
277	4.529816053
278	4.52605333
279	4.520852646
280	4.519010309
281	4.515656905
282	4.513751303
283	4.510205889
284	4.509129475
285	4.506023804
286	4.50392091
287	4.500611186
288	4.496277134
289	4.493410771
290	4.488977711
291	4.485910117
292	4.484159173
293	4.480418113
294	4.474717064
295	4.472164353
296	4.469488495
297	4.464127464
298	4.457830767
299	4.454459231
300	4.450966162
301	4.445832457
302	4.443186669
303	4.439546734
304	4.435888378
305	4.43232628
306	4.429667093
307	4.427630942
308	4.42158126
309	4.419091306
310	4.416679932
311	4.41283225
312	4.410863853
313	4.409248529
314	4.405322647
315	4.400345752
316	4.393925601
317	4.387582562
318	4.38383251
319	4.380943882
320	4.378374887
321	4.377383008
322	4.372029102
323	4.368537593
324	4.364661623
325	4.361698331
326	4.355547456
327	4.353624171
328	4.351549206
329	4.349913786
330	4.343013593
331	4.339781259
332	4.338053548
333	4.336135606
334	4.332092557
335	4.329913862
336	4.324882099
337	4.323926947
338	4.322301593
339	4.318730512
340	4.315414824
341	4.313081357
342	4.308573198
343	4.305284314
344	4.303969133
345	4.299819973
346	4.29522277
347	4.292475692
348	4.289047363
349	4.287894715
350	4.287479777
351	4.283756804
352	4.279309798
353	4.278375226
354	4.27606351
355	4.271414904
356	4.270521064
357	4.267383616
358	4.266293608
359	4.265741904
360	4.263915387
361	4.259433452
362	4.256922
363	4.253009143
364	4.250890709
365	4.245644662
366	4.244389955
367	4.239984539
368	4.238651147
369	4.235177758
370	4.230663046
371	4.22814314
372	4.225152029
373	4.220992231
374	4.218643963
375	4.214148804
376	4.212849876
377	4.21170163
378	4.210696424
379	4.207158581
380	4.206573076
381	4.204168619
382	4.201371535
383	4.196094463
384	4.194678632
385	4.189590541
386	4.187234415
387	4.183209932
388	4.17905218
389	4.177708423
390	4.173831918
391	4.171776596
392	4.170742274
393	4.165811067
394	4.165185325
395	4.162685279
396	4.157910987
397	4.153766489
398	4.151244319
399	4.149145103
400	4.145033397
401	4.143491762
402	4.139554742
403	4.13649577
404	4.13487666
405	4.13308861
406	4.132763945
407	4.129336002
408	4.128573693
409	4.127577723
410	4.124332911
411	4.120894917
412	4.116250535
413	4.114546207
414	4.112366929
415	4.109198952
416	4.107940008
417	4.104049984
418	4.099853338
419	4.095064363
420	4.088193842
421	4.08295002
422	4.08004477
423	4.074388095
424	4.073042388
425	4.072080458
426	4.068096702
427	4.064798916
428	4.063392026
429	4.057842305
430	4.055335658
431	4.055080623
432	4.052429702
433	4.04664792
434	4.042145688
435	4.041073685
436	4.039453439
437	4.038133739
438	4.035050037
439	4.032830378
440	4.030377414
441	4.026502209
442	4.023957785
443	4.018996554
444	4.015019465
445	4.012717024
446	4.009861213
447	4.006851735
448	4.003805237
449	4.001032364
450	3.999398191
451	3.996398121
452	3.995472243
453	3.99085914
454	3.987741151
455	3.985490671
456	3.980138383
457	3.976077345
458	3.973270787
459	3.971173017
460	3.966638907
461	3.964470414
462	3.961456047
463	3.959168692
464	3.956808479
465	3.956312127
466	3.953071972
467	3.949751561
468	3.947081988
469	3.942821387
470	3.938125602
471	3.936436914
472	3.935867625
473	3.931861738
474	3.927687388
475	3.926227646
476	3.925510842
477	3.924528566
478	3.923139803
479	3.919824146
480	3.916282344
481	3.914865063
482	3.912673645
483	3.911730824
484	3.906136097
485	3.904854068
486	3.901011503
487	3.896938459
488	3.894976445
489	3.88992268
490	3.887592904
491	3.883477305
492	3.880182944
493	3.8779264
494	3.873891943
495	3.870786737
496	3.867405901
497	3.864701868
498	3.862519231
499	3.861142292
500	3.859103861
501	3.857805476
502	3.853246544
503	3.852537295
504	3.850251119
505	3.845929808
506	3.843640029
507	3.842810943
508	3.839945886
509	3.837254259
510	3.833725211
511	3.83134401
512	3.828391487
513	3.8249892
514	3.824515393
515	3.821973039
516	3.81812031
517	3.814574002
518	3.813825366
519	3.812010134
520	3.809605315
521	3.806888736
522	3.803777929
523	3.799645579
524	3.795829409
525	3.792231566
526	3.791414134
527	3.790840389
528	3.788356196
529	3.786162042
530	3.783395931
531	3.780958775
532	3.779058815
533	3.776731101
534	3.774960347
535	3.770979642
536	3.770535521
537	3.769361194
538	3.766317315
539	3.765931001
540	3.76142994
541	3.759768419
542	3.756124211
543	3.755817087
544	3.752608853
545	3.746634781
546	3.743231032
547	3.740863451
548	3.737576679
549	3.737080765
550	3.735094202
551	3.733916976
552	3.729900552
553	3.726844329
554	3.726033131
555	3.723108325
556	3.722734286
557	3.720633992
558	3.718358614
559	3.713568246
560	3.712804508
561	3.71047926
562	3.709992978
563	3.709224894
564	3.707265563
565	3.706921282
566	3.70365275
567	3.699301753
568	3.696648439
569	3.694214022
570	3.69153469
571	3.688456294
572	3.684966298
573	3.68278248
574	3.679695187
575	3.678594969
576	3.676042165
577	3.675046473
578	3.674052028
579	3.670363976
580	3.6677331
581	3.664067312
582	3.660985366
583	3.65894027
584	3.656507847
585	3.654764817
586	3.652657946
587	3.650538963
588	3.650265223
589	3.646964932
590	3.643924758
591	3.641970285
592	3.63884722
593	3.638565693
594	3.636690236
595	3.635944697
596	3.633899248
597	3.632515854
598	3.629623932
599	3.628314665
600	3.628086974
601	3.625537753
602	3.62438797
603	3.622722673
604	3.620012066
605	3.619602269
606	3.618707149
607	3.616492357
608	3.612075513
609	3.609779808
610	3.607627246
611	3.603240423
612	3.6006226
613	3.598866961
614	3.598555248
615	3.596978662
616	3.593611733
617	3.591134525
618	3.588448509
619	3.587037319
620	3.585083353
621	3.5823481
622	3.579011596
623	3.578746389
624	3.577395447
625	3.57328004
626	3.572099882
627	3.570919879
628	3.570787582
629	3.569561316
630	3.569322872
631	3.568247427
632	3.567454977
633	3.563369897
634	3.561714298
635	3.559718866
636	3.557250637
637	3.555072473
